critic,fresh,imdb,publication,quote,review_date,rtid,title
Desson Thomson,fresh,114885,Washington Post,This sister-celebratory adaptation of Terry McMillan's best-selling book is frequently delightful.,1/01/2000,16697,Waiting to Exhale
Joan Walsh,rotten,114885,Salon.com,"The male-bashing taken to an extreme in Waiting to Exhale is starting to seem a little like crack for the female psyche, exhilarating in the short term but ultimately crippling and dangerous.",1/01/2000,16697,Waiting to Exhale
Susan Wloszczyna,fresh,114885,USA Today,"Whitaker clumsily mishandles what should be a 'you go, girl!' tour de force.",1/01/2000,16697,Waiting to Exhale
Susan Stark,rotten,114885,Detroit News,"For all the pleasure there is in seeing effective, great-looking black women grappling with major life issues on screen, Waiting to Exhale is an uneven piece.",1/01/2000,16697,Waiting to Exhale
James Berardinelli,rotten,114885,ReelViews,"With the exception of Bernadine, I never felt anything for the women populating this film, as they failed to capture my interest or sympathy.",1/01/2000,16697,Waiting to Exhale
Roger Ebert,fresh,114885,Chicago Sun-Times,"An escapist fantasy that women in the audience can enjoy by musing, 'I wish I had her problems' - and her car, house, wardrobe, figure and men, even wrong men.",1/01/2000,16697,Waiting to Exhale
Mike Clark,rotten,113041,USA Today,"Martin, Keaton and cinematographer William A. Fraker put this retro fluff over better than expected early on, but hour 2 is only for those who don't want their equilibriums rattled by surprises.",1/01/2000,10379,Father of the Bride Part II
Michael Wilmington,fresh,113277,Chicago Tribune,"When Pacino's loud, bruised cop and De Niro's canny crook stare at each other, you can read something spent and weary in their eyes and voices. The heat is hell. So are their jobs -- but somebody's got to do them.",29/04/2014,13098,Heat
Anthony Lane,fresh,113277,New Yorker,"The taciturn De Niro and the braying Pacino share a flawless scene over a cup of coffee, but the real honors go to Val Kilmer and Ashley Judd as a warring, loving couple.",29/04/2014,13098,Heat
Steven Rea,rotten,113277,Philadelphia Inquirer,"So why doesn't Heat, with its elaborately staged, tautly edited robberies, its killer cast, edgy score and elegant cinematography, offer more satisfaction? It's the script, stupid.",29/04/2014,13098,Heat
David Ansen,rotten,113277,Newsweek,"Just when it seemed that the only hope for crime movies lay in the postmodernist artifice of films like Pulp Fiction, Mann reinvests the genre with brooding, modernist conviction. This one sticks to your gut.",29/04/2014,13098,Heat
Jonathan Rosenbaum,fresh,113277,Chicago Reader,"There's nothing really new in this lengthy 1995 thriller by writer-director Michael Mann about cops and robbers in Los Angeles, but it has craft, pacing, and an overall sense of proportion, three pretty rare classic virtues nowadays.",29/04/2014,13098,Heat
Dave Kehr,fresh,113277,New York Daily News,"An odd though often entertaining blend of The Asphalt Jungle and Oprah, a traditional cops-and-robbers story weirdly fitted out with long, earnest discussions of interpersonal relationships.",29/04/2014,13098,Heat
Jay Boyar,fresh,113277,Orlando Sentinel,"There isn't much going on at this party other than what the actors bring to it. But fortunately, Mann has invited some exceptional ones.",29/04/2014,13098,Heat
John Hartl,fresh,113277,Seattle Times,Heat becomes consistently more interesting as it forges on toward the 180-minute mark.,29/04/2014,13098,Heat
Todd McCarthy,fresh,113277,Variety,Heat occupies an exalted position among the countless contemporary crime films.,16/10/2008,13098,Heat
Peter Travers,fresh,113277,Rolling Stone,Robert De Niro's last great role before he devoted himself to self-parody.,14/08/2007,13098,Heat
Geoff Andrew,fresh,113277,Time Out,"This is simply the best American crime movie -- and indeed, one of the finest movies, period -- in over a decade.",9/02/2006,13098,Heat
Janet Maslin,rotten,113277,New York Times,"As Heat progresses, its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.",20/05/2003,13098,Heat
Kenneth Turan,fresh,113277,Los Angeles Times,"Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek, accomplished piece of work, meticulously controlled and completely involving.",13/02/2001,13098,Heat
Andrew Ross,rotten,113277,Salon.com,"All the squealing tires, flying bullets and falling bodies cannot save Heat from drowning in its own banalities.",1/01/2000,13098,Heat
Roger Ebert,fresh,113277,Chicago Sun-Times,Michael Mann's writing and direction elevate this material. It's not just an action picture.,1/01/2000,13098,Heat
James Berardinelli,rotten,113277,ReelViews,... a colossal disappointment.,1/01/2000,13098,Heat
Sean Means,fresh,113277,Film.com,Heat generates lots of energy but gives off little light.,1/01/2000,13098,Heat
Susan Stark,fresh,113277,Detroit News,Boosters and touts use the term 'major movie' so often that it's more likely to generate yawns than excitement at this point. Back to basics. Heat is a major movie. With major stars. Doing major acting.,1/01/2000,13098,Heat
Edward Guthmann,fresh,113277,San Francisco Chronicle,"This is the first time De Niro and Pacino have acted together, and each gives a strong, watertight performance.",1/01/2000,13098,Heat
Andy Spletzer,fresh,113277,Film.com,The cop/ crime stuff that makes up the bulk of the movie is well thought out and well directed.,1/01/2000,13098,Heat
,fresh,47437,TIME Magazine,"This is never less than glittering entertainment, but somehow a certain measure of lead has found its way into the formula.",3/02/2009,18228,Sabrina
Variety Staff,fresh,47437,Variety,"Script is long on glibly quipping dialog, dropped with a seemingly casual air, and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.",18/10/2008,18228,Sabrina
Dave Kehr,fresh,47437,Chicago Reader,Wilder's tastelessness now seems his major artistic strength.,15/08/2007,18228,Sabrina
Derek Adams,fresh,47437,Time Out,"It's a Cinderella story that gets turned on its head, a satire about breaking down class and emotional barriers, and a confrontation between New World callousness and Old World humanity.",24/06/2006,18228,Sabrina
James Berardinelli,fresh,47437,ReelViews,"Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming, delightfully romantic variation of the Cinderella story.",1/01/2000,18228,Sabrina
Bosley Crowther,fresh,47437,New York Times,"It is a story as light as a feather and as old as yesterday's news, as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.",1/01/2000,18228,Sabrina
Susan Wloszczyna,rotten,112302,USA Today,A joyless lump.,1/01/2000,11639,Tom and Huck
Geoff Andrew,fresh,114576,Time Out,"Reuniting Hyams and Van Damme, director and star of Timecop, this spectacular nail-biter exploits their combined, if limited, abilities to the full.",9/02/2006,15378,Sudden Death
Stephen Holden,fresh,114576,New York Times,"Offers above-average pyrotechnics, a body count that steadily mounts, and plenty of hand-to-hand combat.",20/05/2003,15378,Sudden Death
Mick LaSalle,fresh,114576,San Francisco Chronicle,Sudden Death is one of the best action thrillers of 1995. It's also the film Jean-Claude Van Damme has been building up to for 10 years.,18/06/2002,15378,Sudden Death
Peter Travers,rotten,114576,Rolling Stone,"Despite the elaborate stunts, go-go-go direction from Peter Hyams, plus butt-kicking and surprise goalie action from Van Damme, Death deserves the hockey-puck booby prize for...getting its jollies by putting kids in jeopardy.",12/05/2001,15378,Sudden Death
Kevin Thomas,fresh,114576,Los Angeles Times,"A treat for Jean-Claude Van Damme fans, a superior action thriller loaded with jaw-dropping stunts and special effects, and strong in production values.",13/02/2001,15378,Sudden Death
Roger Ebert,fresh,114576,Chicago Sun-Times,"Sudden Death isn't about common sense. It's about the manipulation of action and special-effects sequences to create a thriller effect, and at that it's pretty good.",1/01/2000,15378,Sudden Death
Richard Harrington,fresh,114576,Washington Post,"Though the climactic duel atop the arena roof is patently absurd, it's also exciting as events go into sudden-death overtime, just like the game being played below.",1/01/2000,15378,Sudden Death
Desson Thomson,rotten,114576,Washington Post,"Van Damme races against time, trying to thwart Boothe and defuse all the bombs. But in the hands of director Peter Hyams, these are just banal action-movie chores.",1/01/2000,15378,Sudden Death
James Berardinelli,rotten,114576,ReelViews,"About the best thing that can be said about this movie is that the action scenes, directed by Peter Hyams, are choreographed with flair. Unfortunately, the material connecting them is worthless.",1/01/2000,15378,Sudden Death
Anthony Lane,fresh,113189,New Yorker,"Brosnan, however, looks set to stay. He'll never recapture the amused cool of the young Sean Connery, but he does overcome the handicap of looking like a humorless male model.",23/10/2012,12812,GoldenEye
Owen Gleiberman,rotten,113189,Entertainment Weekly,"I don't know whether the Bond series has a future, but if Xenia Onatopp ever returns to try for world domination, he may finally get a battle worth fighting.",13/10/2008,12812,GoldenEye
Jonathan Rosenbaum,fresh,113189,Chicago Reader,"There's something a mite pathetic about our culture still clinging to 007, but it's hard to deny that this is one of the most entertaining entries in the Bond cycle.",13/10/2008,12812,GoldenEye
Richard Schickel,rotten,113189,TIME Magazine,"Richard Kiel, you are missed.",13/10/2008,12812,GoldenEye
Todd McCarthy,fresh,113189,Variety,"Among the better of the 17 Bonds and, perhaps more important for today's audience, a dynamic action entry in its own right, this first 007 adventure in six years breathes fresh creative and commercial life into the 33-year-old series.",2/10/2008,12812,GoldenEye
,fresh,113189,Time Out,Director Campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films.,9/02/2006,12812,GoldenEye
Janet Maslin,rotten,113189,New York Times,Suffers the blahs.,20/05/2003,12812,GoldenEye
Peter Stack,fresh,113189,San Francisco Chronicle,"Supercharged with spectacular, thundering, brain-numbing fun.",18/06/2002,12812,GoldenEye
Rick Groen,rotten,113189,Globe and Mail,"They have given James a new car here, but it's the same old vanity plate, the one that should read: Je Me Souviens.",12/04/2002,12812,GoldenEye
Kenneth Turan,rotten,113189,Los Angeles Times,"A reasonable facsimile more than any kind of original, and it's hard not to feel a certain weariness while watching it unfold.",13/02/2001,12812,GoldenEye
Susan Wloszczyna,fresh,113189,USA Today,It's BS -- Babes and Stunts -- and that's where GoldenEye excels.,1/01/2000,12812,GoldenEye
Hal Hinson,fresh,113189,Washington Post,Directed with top-dollar proficiency (and some real wit).,1/01/2000,12812,GoldenEye
James Berardinelli,fresh,113189,ReelViews,Perhaps the best entry in the series since The Spy Who Loved Me.,1/01/2000,12812,GoldenEye
Roger Ebert,fresh,113189,Chicago Sun-Times,"Watching the film, I got caught up in the special effects and the neat stunts, and I observed with a certain satisfaction Bond's belated entry into a more modern world.",1/01/2000,12812,GoldenEye
Geoff Andrew,fresh,112346,Time Out,"Part romantic comedy, part Capra-corny political drama, this movie exudes so much sympathy, it sweats.",24/06/2006,10129,The American President
Janet Maslin,fresh,112346,New York Times,"With great looks, a dandy supporting cast, a zinger-filled screenplay by Aaron Sorkin and Mr. Douglas twinkling merrily in the Oval Office, The American President is sunny enough to make the real Presidency pale by comparison.",20/05/2003,10129,The American President
Kenneth Turan,fresh,112346,Los Angeles Times,Genial and entertaining if not notably inspired.,13/02/2001,10129,The American President
,fresh,112346,Variety,Genial middlebrow fare that coasts a long way on the charm of its two stars.,13/02/2001,10129,The American President
Richard Corliss,fresh,112346,TIME Magazine,As bustling and impassioned as the best Sturges and Capra movies.,1/01/2000,10129,The American President
James Berardinelli,rotten,112346,ReelViews,"Neither bad nor unwatchable, The American President is nevertheless the second straight disappointment from director Rob Reiner.",1/01/2000,10129,The American President
Tom Keogh,fresh,112346,Film.com,"You can't dislike this movie, but you won't be swept away by it either.",1/01/2000,10129,The American President
Sean Means,fresh,112346,Film.com,The American President will make you laugh and make you smile. But it probably won't make you change your vote.,1/01/2000,10129,The American President
Susan Stark,fresh,112346,Detroit News,"Apart from its too-obvious political bias, The American President has romance in its heart, smarts in abundance and class to spare.",1/01/2000,10129,The American President
Roger Ebert,fresh,112346,Chicago Sun-Times,Great entertainment.,1/01/2000,10129,The American President
Desson Thomson,fresh,112346,Washington Post,A well-modulated charmer.,1/01/2000,10129,The American President
Paula Nechak,fresh,112346,Film.com,The American President becomes a pretty darn entertaining and affecting movie after its first simpering 20 minutes.,1/01/2000,10129,The American President
Rita Kempley,fresh,112346,Washington Post,Frothy.,1/01/2000,10129,The American President
Edward Guthmann,fresh,112346,San Francisco Chronicle,"'Capraesque' has inevitably been affixed to The American President, but that phrase, with its implications of facile hokum, doesn't do the film justice.",1/01/2000,10129,The American President
John Hartl,fresh,112346,Film.com,Painless fun.,1/01/2000,10129,The American President
Mike Clark,fresh,112346,USA Today,A super cast injects it with Teddy Roosevelt vitality.,1/01/2000,10129,The American President
Susan Rathke,rotten,112346,Film.com,"When it comes right down to it, high office does not guarantee high comedy.",1/01/2000,10129,The American President
Owen Gleiberman,fresh,112346,Entertainment Weekly,"The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas, wearing a fast-break smile in place of his usual frown, strikes a tender rapport with Bening...",17/11/1995,10129,The American President
Jonathan Rosenbaum,rotten,112896,Chicago Reader,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,20/10/2009,10445,Dracula: Dead and Loving It
Joe Leydon,rotten,112896,Variety,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",26/03/2009,10445,Dracula: Dead and Loving It
,rotten,112896,Time Out,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",26/01/2006,10445,Dracula: Dead and Loving It
Janet Maslin,fresh,112896,New York Times,Slight but amusing.,20/05/2003,10445,Dracula: Dead and Loving It
David Kronke,rotten,112896,Los Angeles Times,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?",15/08/2002,10445,Dracula: Dead and Loving It
James Berardinelli,rotten,112896,ReelViews,It's a toothless parody that misses more often than it hits.,1/01/2000,10445,Dracula: Dead and Loving It
Hal Hinson,rotten,112896,Washington Post,"This time, unfortunately, he's sucking on a dry vein.",1/01/2000,10445,Dracula: Dead and Loving It
Susan Wloszczyna,rotten,112896,USA Today,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks.",1/01/2000,10445,Dracula: Dead and Loving It
Desson Thomson,rotten,112896,Washington Post,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",1/01/2000,10445,Dracula: Dead and Loving It
Mick LaSalle,fresh,112896,San Francisco Chronicle,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",1/01/2000,10445,Dracula: Dead and Loving It
Susan Wloszczyna,rotten,112453,USA Today,"The love story is pure mush, not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.",1/01/2000,9562,Balto
Geoff Andrew,rotten,113987,Time Out,"As wayward and self-regarding as its subject, the film long overstays its welcome.",26/01/2006,16248,Nixon
Janet Maslin,fresh,113987,New York Times,"What it finally adds up to is a huge mixed bag of waxworks and daring, a film that is furiously ambitious even when it goes flat, and startling even when it settles for eerie, movie-of-the-week mimicry.",20/05/2003,16248,Nixon
Hal Hinson,fresh,113987,Washington Post,"Without question, Nixon dwarfs everything in the American cinema since Schindler's List.",16/02/2001,16248,Nixon
Kenneth Turan,fresh,113987,Los Angeles Times,"Nixon starts, like a horror movie, on a dark and stormy night, with the president prowling around a room of the White House like Dracula in his lair.",13/02/2001,16248,Nixon
Todd McCarthy,rotten,113987,Variety,Nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of Watergate.,13/02/2001,16248,Nixon
James Berardinelli,fresh,113987,ReelViews,"Factual or not, there's no denying that Nixon has moments when it is nothing short of compelling.",1/01/2000,16248,Nixon
John Hartl,rotten,113987,Film.com,There's no compelling structure or viewpoint to hold the picture together.,1/01/2000,16248,Nixon
Mick LaSalle,rotten,113987,San Francisco Chronicle,The problem here isn't accuracy. It's absurdity.,1/01/2000,16248,Nixon
Roger Ebert,fresh,113987,Chicago Sun-Times,"Thoughts of Hamlet, Macbeth and King Lear come to mind; here, again, is a ruler destroyed by his fatal flaws. There's something almost majestic about the process: As Nixon goes down in this film, there is no gloating, but a watery sigh, as of a great ship",1/01/2000,16248,Nixon
Susan Stark,fresh,113987,Detroit News,"Thoughtful, well-researched and carefully modulated, the film also marks director Oliver Stone's coming of age.",1/01/2000,16248,Nixon
Desson Thomson,fresh,113987,Washington Post,You will not be bored.,1/01/2000,16248,Nixon
Stanley Kauffmann,fresh,113987,The New Republic,The picture is a case study.,1/01/2000,16248,Nixon
Sean Means,fresh,113987,Film.com,Casting Anthony Hopkins was a stroke of unexpected genius.,1/01/2000,16248,Nixon
Emily White,rotten,113987,Film.com,"Stone's no Shakespeare, and neither are his screenwriters.",1/01/2000,16248,Nixon
Mike Clark,fresh,113987,USA Today,Joan Allen goes beyond her chilling physical resemblance to Pat Nixon toward serious Oscar worthiness.,1/01/2000,16248,Nixon
Lyall Bush,rotten,113987,Film.com,I never felt that I was seeing the darkness reaching out to the darkness as Nixon was once described.,1/01/2000,16248,Nixon
Richard Corliss,rotten,113987,TIME Magazine,"Real life, if it's real Nixon, is more dramatic than an Oliver Stone movie.",1/01/2000,16248,Nixon
Todd McCarthy,rotten,112760,Variety,"What seemed like a dubious proposition on paper plays even more dubiously onscreen, as ""Cutthroat Island"" strenuously but vainly attempts to revive the thrills of old-fashioned pirate pictures.",26/03/2009,10672,Cutthroat Island
Trevor Johnston,rotten,112760,Time Out,"In this $90m revisionist swashbuckler, we get Geena Davis doing the all-action honours, and a hotchpotch script that seems to think pirate movies are so funny in themselves the need for more humour is superfluous.",9/02/2006,10672,Cutthroat Island
Janet Maslin,rotten,112760,New York Times,"t's not possible to believe that Ms. Davis is the highly respected captain of a pirate ship, and it's not even fun to try.",20/05/2003,10672,Cutthroat Island
Susan Wloszczyna,fresh,112760,USA Today,"If the sight of half-naked, tattooed sailors firing cannons at each other shivers your timbers, climb aboard. Even passable pirate movies don't sail by every day.",1/01/2000,10672,Cutthroat Island
Desson Thomson,rotten,112760,Washington Post,It takes a two-hour act of will to keep facing the screen during this moribund movie.,1/01/2000,10672,Cutthroat Island
Owen Gleiberman,fresh,112641,Entertainment Weekly,"[Stone] seems to be trying to enter a more passionate movie, where a neurotic gold digger could at least have a good time. By the end of Casino, for all its craftsmanly bravura, you may want to join her.",25/01/2010,13456,Casino
Richard Schickel,fresh,112641,TIME Magazine,"So long as Casino stays focused on the excesses -- of language, of violence, of ambition -- in the life-styles of the rich and infamous, it remains a smart, knowing, if often repetitive, spectacle.",25/01/2010,13456,Casino
Jonathan Rosenbaum,rotten,112641,Chicago Reader,Simultaneously quite watchable and passionless.,25/01/2010,13456,Casino
Todd McCarthy,fresh,112641,Variety,"Martin Scorsese's intimate epic about money, sex and brute force is a grandly conceived study of what happens to goodfellas from the mean streets when they outstrip their wildest dreams and achieve the pinnacle of wealth and power.",16/05/2008,13456,Casino
David Ansen,rotten,112641,Newsweek,"It's not the actors' fault that no one is able to break through the film's gorgeous but chilly surface. You watch Casino with respect and appreciation, reveling in its documentary sense of detail.",31/03/2008,13456,Casino
Hal Hinson,rotten,112641,Washington Post,"Scorsese may be flailing here, but Scorsese flailing is more formidable than most directors at the top of their form.",9/08/2006,13456,Casino
Geoff Andrew,rotten,112641,Time Out,"The result, sadly, is that contradiction in terms, a dull Scorsese movie.",9/02/2006,13456,Casino
Janet Maslin,fresh,112641,New York Times,"Of all the bravura visual effects in Martin Scorsese's dazzlingly stylish Casino, it's a glimpse of ordinary people that delivers the greatest jolt.",20/05/2003,13456,Casino
Mick LaSalle,rotten,112641,San Francisco Chronicle,"It's an ambitious film, but also a scattered, unfocused one.",18/06/2002,13456,Casino
Rick Groen,fresh,112641,Globe and Mail,"Visually impressive, splendidly performed, thematically significant, this is a movie in full possession of every key cinematic asset except one -- a solid script.",12/04/2002,13456,Casino
Peter Travers,fresh,112641,Rolling Stone,[A] Vegas masterpiece.,12/05/2001,13456,Casino
Kenneth Turan,fresh,112641,Los Angeles Times,"Martin Scorsese is a master filmmaker, so skilled in the manipulation of imagery he might be the most proficient of active American directors.",13/02/2001,13456,Casino
Desson Thomson,rotten,112641,Washington Post,"After coming out gangbusters in its first and finest hour, the 180-minute movie loses all its chips in the remaining two.",1/01/2000,13456,Casino
Roger Ebert,fresh,112641,Chicago Sun-Times,Martin Scorsese's fascinating new film Casino knows a lot about the Mafia's relationship with Las Vegas.,1/01/2000,13456,Casino
James Berardinelli,fresh,112641,ReelViews,"In every way -- from the fantastic sets, rich dialogue, and unapologetic violence to the well-portrayed characters and themes of loyalty and betrayal -- Casino is pure Scorsese.",1/01/2000,13456,Casino
Mike Clark,fresh,112641,USA Today,"Whether you find it exhilarating, expendable or exhausting -- and you will find it exhausting -- Martin Scorsese's Casino is the spectacular last word on urban sprawl.",1/01/2000,13456,Casino
Todd McCarthy,fresh,114388,Variety,Thompson's script manages the neat trick of preserving the necessary niceties and decorum of civilized behavior of the time while still cutting to the dramatic quick.,30/01/2009,10042,Sense and Sensibility
Jonathan Rosenbaum,fresh,114388,Chicago Reader,I can't say I remembered this 1995 feature too clearly a couple of days later; but I certainly had a good time as I watched it.,9/02/2007,10042,Sense and Sensibility
Geoff Andrew,fresh,114388,Time Out,Thompson and Winslet give fine performances ably supported by the rest of the ensemble.,24/06/2006,10042,Sense and Sensibility
Janet Maslin,fresh,114388,New York Times,We need no further proof that this material is ageless.,21/05/2003,10042,Sense and Sensibility
Kenneth Turan,fresh,114388,Los Angeles Times,"The sensibility may be a bit off, but there is more than enough sense involved in this mid-Atlantic Austen to make up the difference.",13/02/2001,10042,Sense and Sensibility
Louis B. Parks,fresh,114388,Houston Chronicle,The film is packed with pleasing performances by stage-trained actors.,1/01/2000,10042,Sense and Sensibility
James Berardinelli,fresh,114388,ReelViews,Told with deft skill and a pleasantly humorous romantic touch.,1/01/2000,10042,Sense and Sensibility
Susan Stark,fresh,114388,Detroit News,It's bliss.,1/01/2000,10042,Sense and Sensibility
John Hartl,fresh,114388,Film.com,"A triumph for Taiwan's most famous director, Ang Lee.",1/01/2000,10042,Sense and Sensibility
Sean Means,fresh,114388,Film.com,Thompson's script hits its peak by keeping Austen's voice yet finding the satirical smirk behind it.,1/01/2000,10042,Sense and Sensibility
Bruce Reid,fresh,114388,Film.com,"Sense and Sensibility is funny, expansive, and a delight to spend company with.",1/01/2000,10042,Sense and Sensibility
Mike Clark,fresh,114388,USA Today,"The movie is good fun, boasting a dozen vivid characters and two that moviegoers will take to heart.",1/01/2000,10042,Sense and Sensibility
Roger Ebert,rotten,114388,Chicago Sun-Times,"Sense and Sensibility is an enjoyable film, and yet it left me somehow unsatisfied.",1/01/2000,10042,Sense and Sensibility
Rita Kempley,none,114388,Washington Post,Demonstrates how little humankind has evolved in matters of the heart.,1/01/2000,10042,Sense and Sensibility
Mick LaSalle,fresh,114388,San Francisco Chronicle,"An exuberant, well- crafted film that gets the audience involved on a gut level.",1/01/2000,10042,Sense and Sensibility
Jonathan Rosenbaum,rotten,113101,Chicago Reader,"The results are mainly awful, and even Roth got saddled with a mannered part that he can't comfortably play.",13/03/2007,13075,Four Rooms
Emanuel Levy,rotten,113101,Variety,"Four of the hottest indie directors--Anders, Rockwell, Tarantino, and Rodrigues--miss a unique opportunity to display their idiosyncratic talents resulting in a tedious anthology in which 2 segments are inept, one barely decent, and one OK (guess whose)",28/12/2006,13075,Four Rooms
,rotten,113101,Time Out,They should have called this One Room and released it as a Rodriguez short.,26/01/2006,13075,Four Rooms
Janet Maslin,rotten,113101,New York Times,"The less said about this career-denting fiasco, the better.",20/05/2003,13075,Four Rooms
Jack Mathews,rotten,113101,Los Angeles Times,Sounds better than it is.,13/02/2001,13075,Four Rooms
